analysis,prob
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
1,0.85
0,0.85
1,0.85
1,0.95
0,0.85
0,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.75
1,0.85
1,0.85
1,0.85
0,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
0,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
0,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
1,0.85
1,0.85
1,0.95
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
1,0.85
0,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.9
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.95
1,0.85
0,0.95
1,0.85
1,0.85
1,0.85
0,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.9
1,0.85
1,0.85
1,0.75
1,0.85
1,0.85
1,0.95
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
0,0.85
1,0.85
1,0.75
1,0.9
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.95
1,0.85
0,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.75
1,0.85
1,0.85
1,0.75
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.95
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.95
1,0.75
1,0.85
1,0.85
1,0.85
0,0.85
0,0.9
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
1,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
1,0.85
0,0.7
1,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.95
1,0.85
0,0.85
1,0.85
0,0.95
1,0.85
1,0.85
0,0.85
0,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
0,0.85
1,0.85
0,0.75
1,0.85
0,0.85
1,0.85
1,0.85
0,0.95
0,0.85
0,0.85
0,0.85
0,0.85
0,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
1,0.85
0,0.85
0,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
1,0.85
0,0.85
0,0.85
0,0.85
0,0.85
0,0.85
0,0.85
0,0.85
0,0.85
1,0.85
1,0.85
0,0.85
0,0.75
0,0.85
1,0.85
0,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.95
1,0.85
1,0.85
0,0.85
1,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.85
0,0.95
0,0.85
0,0.85
0,0.85
0,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.95
1,0.85
1,0.85
1,0.75
0,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
1,0.85
0,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.75
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
0,0.85
0,0.85
1,0.85
0,0.85
0,0.95
1,0.95
0,0.85
1,0.85
0,0.85
1,0.85
1,0.95
1,0.85
1,0.85
1,0.85
0,0.85
0,0.85
0,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.75
1,0.85
0,0.95
0,0.85
0,0.95
1,0.85
1,0.85
0,0.85
1,0.85
1,0.9
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
0,0.85
1,0.85
0,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
0,0.95
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
0,0.85
1,0.85
0,0.85
0,0.85
1,0.85
0,0.85
0,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
0,0.85
0,0.85
0,0.85
1,0.85
1,0.75
1,0.85
0,0.85
1,0.85
1,0.85
0,0.85
0,0.85
0,0.95
0,0.85
0,0.85
1,0.85
0,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
1,0.85
1,0.85
1,0.85
0,0.85
